,Unnamed: 0,id,id,,sex,bizflag,zip,zip_bins,numords,dollars,last,sincepurch,version1,owntaxprod,upgraded,res1,sex_F,sex_M,sex_U,median_house_income,state,zip_bins_2,zip_bins_3,zip_bins_4,zip_bins_5,zip_bins_6,zip_bins_7,zip_bins_8,zip_bins_9,zip_bins_10,zip_bins_11,zip_bins_12,zip_bins_13,zip_bins_14,p_final
3,3,4,4,,U,1,99999,13,1,80.5,5,19,1,0,0,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.060606061
6,6,7,7,,U,1,99999,13,1,56,5,27,0,0,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06600703
14,14,15,15,,U,1,99999,13,3,80.5,19,21,0,0,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.048757457
15,15,16,16,,U,1,99999,13,3,46,4,35,1,0,0,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08670142
17,17,18,18,,U,1,99999,13,3,62,2,22,0,1,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.120471605
19,19,20,20,,U,1,99999,13,4,228,21,22,0,1,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.071593831
21,21,22,22,,U,1,99999,13,2,94,1,18,1,0,0,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.087268214
22,22,23,23,,U,1,99999,13,5,144.5,18,23,0,0,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.076897173
26,26,27,27,,U,1,99999,13,3,96.5,4,27,0,0,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100251069
28,28,29,29,,U,1,99999,13,3,53,9,31,0,0,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.076487469
30,30,31,31,,U,1,99999,13,3,176,6,35,0,0,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.100637505
33,33,34,33,,U,1,99999,13,5,87,13,22,0,0,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09073262
37,37,38,34,,U,1,99999,13,3,109.5,13,33,0,1,1,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.07813773
40,40,41,38,,M,0,0,3,3,279,24,8,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.138091284
41,41,42,41,,M,0,0,3,4,126.5,3,3,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.312225216
42,42,43,42,,M,0,0,3,2,134,35,32,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12337638
43,43,44,43,,M,0,0,3,2,209.5,11,7,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19099994
44,44,45,44,,M,0,99999,13,5,206.5,6,34,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.144602736
45,45,46,45,,M,0,99999,13,2,54,13,26,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.054459717
47,47,48,46,,M,0,99999,13,1,7,7,16,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.063512488
54,54,55,48,,M,0,0,3,3,76.5,4,1,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.253476557
55,55,56,49,,M,0,0,3,1,19.5,4,24,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.324050239
59,59,60,55,,M,0,99999,13,2,379,7,6,0,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.050459841
60,60,61,56,,M,0,99999,13,2,94,12,20,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05928274
61,61,62,60,,M,0,99999,13,1,89.5,11,28,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.058520279
62,62,63,61,,M,0,99999,13,2,55.5,15,31,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.055406264
